#       # k              E            BS weight       TS weight
      2.8593701     -2.7844175       0.0024880       0.0006793
      2.8917322     -2.7853180       0.0025524       0.0007611
      2.9240943     -2.7861784       0.0026175       0.0008446
      2.9564564     -2.7869571       0.0026781       0.0009243
      2.9888184     -2.7876134       0.0027297       0.0009940
      3.0211805     -2.7881110       0.0027688       0.0010484
      3.0535426     -2.7884216       0.0027931       0.0010828
      3.0859047     -2.7885271       0.0028013       0.0010946
 
      0.0000000     -2.7710144       0.0002600       0.0003649
      0.0204780     -2.7710806       0.0002448       0.0003604
      0.0409560     -2.7712802       0.0002144       0.0003535
      0.0614339     -2.7716189       0.0002206       0.0003864
      0.0819119     -2.7721114       0.0002907       0.0004784
      0.1023899     -2.7727789       0.0003188       0.0004755
      0.1228679     -2.7736347       0.0002516       0.0003176
      0.1433459     -2.7746477       0.0004106       0.0003198
      0.1638238     -2.7757663       0.0007686       0.0003629
      0.1843018     -2.7769629       0.0011882       0.0003924
      0.2047798     -2.7782116       0.0016100       0.0004183
      0.2252578     -2.7794864       0.0019981       0.0004472
      0.2457358     -2.7807612       0.0023297       0.0004817
      0.2662137     -2.7820103       0.0025915       0.0005214
      0.2866917     -2.7832096       0.0027767       0.0005640
      0.3071697     -2.7843364       0.0028823       0.0006055
      0.3276477     -2.7853712       0.0029088       0.0006413
      0.3481256     -2.7862972       0.0028590       0.0006665
      0.3686036     -2.7871020       0.0027384       0.0006772
      0.3890816     -2.7877774       0.0025558       0.0006710
      0.4095596     -2.7883201       0.0023243       0.0006478
      0.4300376     -2.7887327       0.0020632       0.0006106
      0.4505155     -2.7890238       0.0017987       0.0005652
      0.4709935     -2.7892086       0.0015652       0.0005206
      0.4914715     -2.7893066       0.0014019       0.0004873
      0.5119495     -2.7893367       0.0013428       0.0004749
      0.5119495     -2.7893367       0.0013428       0.0004749
      0.5370086     -2.7894597       0.0016011       0.0005468
      0.5620676     -2.7897543       0.0022276       0.0007276
      0.5871267     -2.7901083       0.0030146       0.0009713
      0.6121858     -2.7904556       0.0038418       0.0012487
      0.6372448     -2.7907626       0.0046477       0.0015398
      0.6623039     -2.7910121       0.0054024       0.0018304
      0.6873630     -2.7911948       0.0060932       0.0021106
      0.7124221     -2.7913061       0.0067167       0.0023744
      0.7374811     -2.7913448       0.0072747       0.0026180
      0.7625402     -2.7913120       0.0077714       0.0028401
      0.7875993     -2.7912111       0.0082126       0.0030403
      0.8126583     -2.7910475       0.0086043       0.0032195
      0.8377174     -2.7908281       0.0089525       0.0033793
      0.8627765     -2.7905619       0.0092631       0.0035214
      0.8878356     -2.7902590       0.0095411       0.0036477
      0.9128946     -2.7899308       0.0097910       0.0037600
      0.9379537     -2.7895897       0.0100162       0.0038598
      0.9630128     -2.7892483       0.0102187       0.0039484
      0.9880718     -2.7889197       0.0103993       0.0040264
      1.0131309     -2.7886165       0.0105577       0.0040939
      1.0381900     -2.7883502       0.0106923       0.0041506
      1.0632491     -2.7881314       0.0108008       0.0041960
      1.0883081     -2.7879686       0.0108807       0.0042292
      1.1133672     -2.7878683       0.0109298       0.0042496
      1.1384263     -2.7878344       0.0109463       0.0042564
      1.1384263     -2.7878344       0.0109463       0.0042564
      1.1589042     -2.7877708       0.0109643       0.0042420
      1.1793822     -2.7875810       0.0110181       0.0041998
      1.1998602     -2.7872686       0.0111077       0.0041320
      1.2203382     -2.7868391       0.0112325       0.0040423
      1.2408162     -2.7863002       0.0113921       0.0039350
      1.2612941     -2.7856617       0.0115862       0.0038154
      1.2817721     -2.7849348       0.0118143       0.0036883
      1.3022501     -2.7841324       0.0120766       0.0035587
      1.3227281     -2.7832686       0.0123735       0.0034309
      1.3432061     -2.7823585       0.0127058       0.0033086
      1.3636840     -2.7814177       0.0130746       0.0031949
      1.3841620     -2.7804620       0.0134808       0.0030918
      1.4046400     -2.7795074       0.0139244       0.0030008
      1.4251180     -2.7785692       0.0144038       0.0029224
      1.4455960     -2.7776623       0.0149152       0.0028568
      1.4660739     -2.7768005       0.0154516       0.0028032
      1.4865519     -2.7759963       0.0160030       0.0027607
      1.5070299     -2.7752610       0.0165555       0.0027281
      1.5275079     -2.7746046       0.0170926       0.0027038
      1.5479859     -2.7740355       0.0175953       0.0026864
      1.5684638     -2.7735607       0.0180432       0.0026743
      1.5889418     -2.7731857       0.0184167       0.0026664
      1.6094198     -2.7729150       0.0186979       0.0026616
      1.6298978     -2.7727513       0.0188728       0.0026590
      1.6503757     -2.7726966       0.0189321       0.0026582
      1.6503757     -2.7726966       0.0189321       0.0026582
      1.6754348     -2.7727040       0.0189138       0.0026503
      1.7004939     -2.7727261       0.0188588       0.0026268
      1.7255530     -2.7727621       0.0187667       0.0025882
      1.7506120     -2.7728107       0.0186368       0.0025351
      1.7756711     -2.7728700       0.0184680       0.0024685
      1.8007302     -2.7729379       0.0182592       0.0023897
      1.8257892     -2.7730116       0.0180088       0.0022998
      1.8508483     -2.7730880       0.0177148       0.0022004
      1.8759074     -2.7731635       0.0173752       0.0020928
      1.9009665     -2.7732343       0.0169871       0.0019786
      1.9260255     -2.7732964       0.0165471       0.0018594
      1.9510846     -2.7733453       0.0160509       0.0017366
      1.9761437     -2.7733766       0.0154931       0.0016118
      2.0012027     -2.7733857       0.0148666       0.0014864
      2.0262618     -2.7733681       0.0141619       0.0013620
      2.0513209     -2.7733191       0.0133670       0.0012399
      2.0763800     -2.7732342       0.0124660       0.0011216
      2.1014390     -2.7731090       0.0114387       0.0010084
      2.1264981     -2.7729394       0.0102592       0.0009017
      2.1515572     -2.7727218       0.0088970       0.0008028
      2.1766162     -2.7724532       0.0073187       0.0007130
      2.2016753     -2.7721317       0.0055000       0.0006334
      2.2267344     -2.7717582       0.0034613       0.0005627
      2.2517935     -2.7713421       0.0013886       0.0004835
      2.2768525     -2.7710144       0.0002600       0.0003649
      2.2768525     -2.7710144       0.0002600       0.0003649
      2.3092146     -2.7713633       0.0012008       0.0004729
      2.3415767     -2.7719310       0.0030887       0.0005600
      2.3739388     -2.7725777       0.0049000       0.0006321
      2.4063009     -2.7732777       0.0063803       0.0007100
      2.4386630     -2.7740120       0.0074891       0.0007936
      2.4710251     -2.7747641       0.0082629       0.0008798
      2.5033871     -2.7755197       0.0087622       0.0009658
      2.5357492     -2.7762680       0.0090504       0.0010500
      2.5681113     -2.7770022       0.0091862       0.0011328
      2.6004734     -2.7777204       0.0092210       0.0012164
      2.6328355     -2.7784262       0.0091987       0.0013049
      2.6651976     -2.7791279       0.0091570       0.0014040
      2.6975597     -2.7798383       0.0091274       0.0015210
      2.7299217     -2.7805720       0.0091352       0.0016641
