# Omega(k)/|Omega(k)|, Omega(k) comes from the 4,5,6 columns of Berrycurvature.dat.
#col     1           2           3           4           5           6
  # kx (1/A)    ky (1/A)    kz (1/A)     Omega_x     Omega_y     Omega_z
   -0.270912    0.133676   -0.118631   -0.772166   -0.434392    0.463749
   -0.270912    0.139023   -0.118631   -0.047699    0.991665    0.119688
   -0.270912    0.144370   -0.118631   -0.286817    0.394879   -0.872815
   -0.270912    0.149717   -0.118631   -0.052329    0.995957   -0.073014
   -0.270912    0.155065   -0.118631   -0.174581    0.981444   -0.079299
   -0.270912    0.160412   -0.118631   -0.975953   -0.105678   -0.190652
   -0.270912    0.165759   -0.118631   -0.167343   -0.951108   -0.259596
   -0.270912    0.171106   -0.118631   -0.085727    0.984253   -0.154589
   -0.270912    0.176453   -0.118631   -0.000033   -0.000020   -0.000035
   -0.270912    0.181800   -0.118631   -0.000022   -0.000032   -0.000023
   -0.270912    0.187147   -0.118631   -0.000015   -0.000019   -0.000017
   -0.270912    0.192494   -0.118631   -0.000009   -0.000002   -0.000013
   -0.270912    0.197841   -0.118631   -0.000003    0.000023   -0.000009
   -0.270912    0.203188   -0.118631    0.000013    0.000070   -0.000003
   -0.270912    0.208535   -0.118631    0.449336    0.880268    0.152397
   -0.270912    0.213882   -0.118631    0.868891    0.311552    0.384661
   -0.270912    0.219229   -0.118631    0.535904    0.800101    0.269527
   -0.270912    0.224576   -0.118631   -0.049212    0.997881    0.042568
   -0.270912    0.229923   -0.118631   -0.083861    0.995911    0.033594
   -0.270912    0.235270   -0.118631   -0.467079    0.501309    0.728372
   -0.270912    0.240617   -0.118631    0.000023   -0.000071    0.000012
   -0.270912    0.245964   -0.118631    0.401295   -0.915885    0.010796
   -0.270912    0.251311   -0.118631    0.429050   -0.902017    0.047766
   -0.270912    0.256659   -0.118631    0.454433   -0.886224    0.089981
   -0.270912    0.262006   -0.118631    0.479633   -0.868062    0.128140
   -0.270912    0.267353   -0.118631    0.506106   -0.848782    0.153056
   -0.270912    0.272700   -0.118631    0.532670   -0.832035    0.154860
   -0.270912    0.278047   -0.118631    0.554574   -0.821302    0.133829
   -0.270912    0.283394   -0.118631    0.567952   -0.816437    0.104214
   -0.270912    0.288741   -0.118631    0.573866   -0.815178    0.078504
   -0.270912    0.294088   -0.118631    0.575364   -0.815921    0.056821
   -0.270912    0.299435   -0.118631    0.574754   -0.817379    0.039366
   -0.270912    0.304782   -0.118631    0.573757   -0.818497    0.029420
   -0.270912    0.310129   -0.118631    0.573093   -0.819091    0.025600
   -0.270912    0.315476   -0.118631    0.572774   -0.819335    0.024897
   -0.270912    0.320823   -0.118631    0.572662   -0.819400    0.025339
   -0.270912    0.326170   -0.118631    0.572641   -0.819397    0.025916
   -0.270912    0.331517   -0.118631   -0.333871    0.000000   -0.942619
  
   -0.266542   -0.331517   -0.116718    0.967411    0.000000    0.253211
   -0.266542   -0.326170   -0.116718   -0.586897    0.808840   -0.036481
   -0.266542   -0.320823   -0.116718   -0.593096    0.804381   -0.034777
   -0.266542   -0.315476   -0.116718   -0.599095    0.799971   -0.033656
   -0.266542   -0.310129   -0.116718   -0.604732    0.795692   -0.034253
   -0.266542   -0.304782   -0.116718   -0.609742    0.791650   -0.038802
   -0.266542   -0.299435   -0.116718   -0.613588    0.788013   -0.050458
   -0.266542   -0.294088   -0.116718   -0.615218    0.785247   -0.069955
   -0.266542   -0.288741   -0.116718   -0.613055    0.784495   -0.093444
   -0.266542   -0.283394   -0.116718   -0.604997    0.786654   -0.123100
   -0.266542   -0.278047   -0.116718   -0.589405    0.790925   -0.164439
   -0.266542   -0.272700   -0.116718   -0.569763    0.792336   -0.218112
   -0.266542   -0.267353   -0.116718   -0.567854    0.744823   -0.350400
