# local minimal position and the related energy gap
#        kx            ky            kz           gap             E            k1            k2            k3
   -0.27342657   -0.08314622    0.07330815    0.00000003    5.94702518   -0.50464090   -0.12540255    0.41207366
    0.27246867   -0.07191327   -0.06997149    0.00000002    6.00191470    0.50287299   -0.10846082   -0.40405567
    0.27170070   -0.04685584   -0.06929621    0.00000002    6.09458590    0.50145560   -0.07066879   -0.40189632
    0.27366118    0.00000751   -0.06897091    0.00000002    6.17577245    0.50507389    0.00001133   -0.40303447
    0.28145122    0.00007328   -0.06773734    0.00000002    6.19187781    0.51945134    0.00011052   -0.40768302
    0.29165536    0.00020567   -0.06467753    0.00000002    6.20294946    0.53828427    0.00031020   -0.41068973
    0.27271610    0.07021290   -0.07164696    0.00000002    6.00512024    0.50332965    0.10589630   -0.40786351
    0.21630072   -0.00044384   -0.20864846    0.00000002    6.06461798    0.39920842   -0.00066940   -0.64757928
    0.22500689   -0.00047411   -0.19308155    0.00000003    6.12527364    0.41527669   -0.00071506   -0.62248750
   -0.28115707   -0.00007030    0.06779582    0.00000002    6.19136526   -0.51890844   -0.00010603    0.40753288
   -0.27130590   -0.02419938    0.06941287    0.00000002    6.14849509   -0.50072696   -0.03649791    0.40177631
   -0.27182594   -0.04726579    0.07001128    0.00000002    6.09148918   -0.50168676   -0.07128707    0.40353982
   -0.27158123   -0.03823440    0.06969076    0.00000002    6.11779881   -0.50123511   -0.05766577    0.40262688
    0.27700233    0.00003272   -0.06851275    0.00000003    6.18328123    0.51124039    0.00004934   -0.40517962
    0.28014167    0.00006039   -0.06798909    0.00000002    6.18953176    0.51703440    0.00009108   -0.40699630
    0.28496960    0.00011232   -0.06693656    0.00000002    6.19729451    0.52594492    0.00016940   -0.40926244
   -0.23596701    0.00042468    0.17758367    0.00000003    6.18050984   -0.43550487    0.00064050    0.59964997
   -0.23087525    0.00046362    0.18414246    0.00000001    6.15838905   -0.42610743    0.00069925    0.60889113
    0.23988935   -0.00037452   -0.17343889    0.00000002    6.19256272    0.44274402   -0.00056486   -0.59446874
    0.20882965   -0.00039268   -0.22413534    0.00000002    6.00488511    0.38541969   -0.00059225   -0.67365474
    0.23838468   -0.00039563   -0.17492825    0.00000002    6.18848521    0.43996697   -0.00059670   -0.59624150
    0.24709956   -0.00025597   -0.16804723    0.00000002    6.20275310    0.45605130   -0.00038606   -0.58969918
   -0.27111945   -0.00122620    0.06926834    0.00000002    6.16947648   -0.50038283   -0.00184938    0.40129351
   -0.27121105    0.01830885    0.06924031    0.00000003    6.15771985   -0.50055190    0.02761372    0.40131930
    0.27210508    0.05569127   -0.07045234    0.00000002    6.06276651    0.50220193    0.08399453   -0.40474225
    0.27287443    0.07338488   -0.07199700    0.00000002    5.99136943    0.50362185    0.11068033   -0.40875871
    0.27282176    0.07235112   -0.07187903    0.00000002    5.99589063    0.50352465    0.10912119   -0.40845765
    0.27369216    0.08727110   -0.07397518    0.00000002    5.92755138    0.50513107    0.13162377   -0.41374580
    0.27151468    0.03536360   -0.06961526    0.00000003    6.12511889    0.50111229    0.05333598   -0.40240350
   -0.22076194    0.00046455    0.20034176    0.00000002    6.09718105   -0.40744212    0.00070064    0.63401752
    0.26887092   -0.21593565   -0.07423352    0.00000002    5.52840349    0.49623291   -0.32567785   -0.40979059
    0.19672906   -0.11104365   -0.05903918    0.00000002    5.73015399    0.36308661   -0.16747793   -0.30992114
   -0.29251141   -0.00021934    0.06428985    0.00000001    6.20310398   -0.53986421   -0.00033082    0.41066237
   -0.27785346   -0.00003979    0.06838076    0.00000002    6.18505792   -0.51281124   -0.00006001    0.40569347
   -0.27154184    0.03974157    0.06925111    0.00000003    6.11501286   -0.50116241    0.05993891    0.40165155
   -0.27237418    0.06938238    0.06984910    0.00000003    6.01256019   -0.50269859    0.10464369    0.40370608
    0.27659039    0.12018361   -0.08154667    0.00000002    5.76933353    0.51048011    0.18126298   -0.43261742
    0.27597739    0.11432924   -0.07997545    0.00000003    5.79665010    0.50934874    0.17243331   -0.42869041
    0.27831669    0.13559021   -0.08562876    0.00000002    5.70227218    0.51366620    0.20449947   -0.44294493
   -0.25203000    0.21967250    0.08208514    0.00000002    5.60208271   -0.46515101    0.33131382    0.41080895
    0.28156287    0.17556764   -0.08380017    0.00000002    5.55492619    0.51965740    0.26479412   -0.44207589
    0.27089966    0.21602376   -0.07240994    0.00000001    5.51547353    0.49997718    0.32581073   -0.40779427
